substitutable	заменяемый
assist	помогать
enhance	улучшать
implement	выполнять, применять
deserve	заслуживать
participant	участник
competition	конкуренция
trouble	беда
participation	участие
complaint	жалоба
lack	нехватка
outcome	итог
requirement	требование
entry	запись в журнале
disorder	беспорядок
distribution	распределение, распространение
salary	зарплата
wage	зарплата
pay	оплата
deputy	заместитель
indirectly	косвенно
matter	иметь значение, материя
plenty	множество, достаточно
